"bea_code","bea_title","ast_flag","matched_naics","match_digits","ppi_series","begin_year","status","n_ppi","naics_all"
"1111A0","Oilseed farming",FALSE,NA,NA,NA,NA,"NAICS exists, no PPI published",0,NA
"1111B0","Grain farming",FALSE,NA,NA,NA,NA,"NAICS exists, no PPI published",0,NA
"111200","Vegetable and melon farming",FALSE,NA,NA,NA,NA,"NAICS exists, no PPI published",0,NA
"111300","Fruit and tree nut farming",FALSE,NA,NA,NA,NA,"NAICS exists, no PPI published",0,NA
"111400","Greenhouse, nursery, and floriculture production",FALSE,NA,NA,NA,NA,"NAICS exists, no PPI published",0,NA
"111900","Other crop farming",FALSE,NA,NA,NA,NA,"NAICS exists, no PPI published",0,NA
"112120","Dairy cattle and milk production",FALSE,NA,NA,NA,NA,"NAICS exists, no PPI published",0,NA
"1121A0","Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",FALSE,NA,NA,NA,NA,"NAICS exists, no PPI published",0,NA
"112300","Poultry and egg production",FALSE,NA,NA,NA,NA,"NAICS exists, no PPI published",0,NA
"112A00","Animal production, except cattle and poultry and eggs",FALSE,NA,NA,NA,NA,"NAICS exists, no PPI published",0,NA
"113000","Forestry and logging",FALSE,NA,NA,NA,NA,"NAICS exists, no PPI published",0,NA
"114000","Fishing, hunting and trapping",FALSE,NA,NA,NA,NA,"NAICS exists, no PPI published",0,NA
"115000","Support activities for agriculture and forestry",FALSE,NA,NA,NA,NA,"NAICS exists, no PPI published",0,NA
"211000","Oil and gas extraction",FALSE,"211",3,"PCU211---211---",1985,"matched",1,"211"
"212100","Coal mining",FALSE,"2121",4,"PCU2121--2121--",1985,"matched",1,"2121"
"212230","Copper, nickel, lead, and zinc mining",FALSE,"21223",5,"PCU21223-21223-",1988,"matched",1,"21223"
"2122A0","Iron, gold, silver, and other metal ore mining",FALSE,"21221",5,"PCU21221-21221-",1984,"matched",3,"21221, 21222, 21229"
"212310","Stone mining and quarrying",FALSE,"2123",4,"PCU2123--2123--",1984,"matched",1,"2123"
"2123A0","Other nonmetallic mineral mining and quarrying",FALSE,"21232",5,"PCU21232-21232-",2003,"matched",2,"21232, 21239"
"213111","Drilling oil and gas wells",FALSE,"213111",6,"PCU213111213111",1985,"matched",1,"213111"
"21311A","Other support activities for mining",FALSE,"213112",6,"PCU213112213112",1985,"matched",2,"21311, 213112"
"221100","Electric power generation, transmission, and distribution",FALSE,"2211",4,"PCU2211--2211--",2003,"matched",1,"2211"
"221200","Natural gas distribution",FALSE,"2212",4,"PCU2212--2212--",2003,"matched",1,"2212"
"221300","Water, sewage and other systems",FALSE,"221",3,"PCU221---221---",2003,"matched",1,"221"
"230301","Nonresidential maintenance and repair",TRUE,NA,NA,NA,NA,"NAICS exists, no PPI published",0,NA
"230302","Residential maintenance and repair",TRUE,NA,NA,NA,NA,"NAICS exists, no PPI published",0,NA
"233210","Health care structures",TRUE,NA,NA,NA,NA,"NAICS exists, no PPI published",0,NA
"233230","Manufacturing structures",TRUE,NA,NA,NA,NA,"NAICS exists, no PPI published",0,NA
"233240","Power and communication structures",TRUE,NA,NA,NA,NA,"NAICS exists, no PPI published",0,NA
"233262","Educational and vocational structures",TRUE,NA,NA,NA,NA,"NAICS exists, no PPI published",0,NA
"2332A0","Office and commercial structures",TRUE,NA,NA,NA,NA,"NAICS exists, no PPI published",0,NA
"2332C0","Transportation structures and highways and streets",TRUE,NA,NA,NA,NA,"NAICS exists, no PPI published",0,NA
"2332D0","Other nonresidential structures",TRUE,NA,NA,NA,NA,"NAICS exists, no PPI published",0,NA
"233411","Single-family residential structures",TRUE,NA,NA,NA,NA,"NAICS exists, no PPI published",0,NA
"233412","Multifamily residential structures",TRUE,NA,NA,NA,NA,"NAICS exists, no PPI published",0,NA
"2334A0","Other residential structures",TRUE,NA,NA,NA,NA,"NAICS exists, no PPI published",0,NA
"311111","Dog and cat food manufacturing",FALSE,"311111",6,"PCU311111311111",1985,"matched",1,"311111"
"311119","Other animal food manufacturing",FALSE,"311119",6,"PCU311119311119",1976,"matched",1,"311119"
"311210","Flour milling and malt manufacturing",FALSE,"31121",5,"PCU31121-31121-",2003,"matched",1,"31121"
"311221","Wet corn milling",FALSE,"311221",6,"PCU311221311221",1985,"matched",1,"311221"
"311224","Soybean and other oilseed processing",FALSE,"311224",6,"PCU311224311224",2011,"matched",1,"311224"
"311225","Fats and oils refining and blending",FALSE,"311225",6,"PCU311225311225",1981,"matched",1,"311225"
"311230","Breakfast cereal manufacturing",FALSE,"31123",5,"PCU31123-31123-",2003,"matched",1,"31123"
"311300","Sugar and confectionery product manufacturing",FALSE,"3113",4,"PCU3113--3113--",1984,"matched",1,"3113"
"311410","Frozen food manufacturing",FALSE,"31141",5,"PCU31141-31141-",2003,"matched",1,"31141"
"311420","Fruit and vegetable canning, pickling, and drying",FALSE,"31142",5,"PCU31142-31142-",2003,"matched",1,"31142"
"311513","Cheese manufacturing",FALSE,"311513",6,"PCU311513311513",1972,"matched",1,"311513"
"311514","Dry, condensed, and evaporated dairy product manufacturing",FALSE,"311514",6,"PCU311514311514",1983,"matched",1,"311514"
"31151A","Fluid milk and butter manufacturing",FALSE,"311511",6,"PCU311511311511",1982,"matched",2,"311511, 311512"
"311520","Ice cream and frozen dessert manufacturing",FALSE,"31152",5,"PCU31152-31152-",2003,"matched",1,"31152"
"311615","Poultry processing",FALSE,"311615",6,"PCU311615311615",1981,"matched",1,"311615"
"31161A","Animal (except poultry) slaughtering, rendering, and processing",FALSE,"311611",6,"PCU311611311611",1967,"matched",3,"311611, 311612, 311613"
"311700","Seafood product preparation and packaging",FALSE,"3117",4,"PCU3117--3117--",2003,"matched",1,"3117"
"311810","Bread and bakery product manufacturing",FALSE,"31181",5,"PCU31181-31181-",2003,"matched",1,"31181"
"3118A0","Cookie, cracker, pasta, and tortilla manufacturing",FALSE,"31182",5,"PCU31182-31182-",2003,"matched",2,"3118, 31182"
"311910","Snack food manufacturing",FALSE,"31191",5,"PCU31191-31191-",2003,"matched",1,"31191"
"311920","Coffee and tea manufacturing",FALSE,"31192",5,"PCU31192-31192-",2003,"matched",1,"31192"
"311930","Flavoring syrup and concentrate manufacturing",FALSE,"31193",5,"PCU31193-31193-",2003,"matched",1,"31193"
"311940","Seasoning and dressing manufacturing",FALSE,"31194",5,"PCU31194-31194-",2003,"matched",1,"31194"
"311990","All other food manufacturing",FALSE,"31199",5,"PCU31199-31199-",2003,"matched",1,"31199"
"312110","Soft drink and ice manufacturing",FALSE,"31211",5,"PCU31211-31211-",2003,"matched",1,"31211"
"312120","Breweries",FALSE,"31212",5,"PCU31212-31212-",2003,"matched",1,"31212"
"312130","Wineries",FALSE,"31213",5,"PCU31213-31213-",2003,"matched",1,"31213"
"312140","Distilleries",FALSE,"31214",5,"PCU31214-31214-",2003,"matched",1,"31214"
"312200","Tobacco manufacturing",FALSE,"3122",4,"PCU3122--3122--",1984,"matched",1,"3122"
"313100","Fiber, yarn, and thread mills",FALSE,"3131",4,"PCU3131--3131--",1984,"matched",1,"3131"
"313200","Fabric mills",FALSE,"3132",4,"PCU3132--3132--",2003,"matched",1,"3132"
"313300","Textile and fabric finishing and fabric coating mills",FALSE,"3133",4,"PCU3133--3133--",2003,"matched",1,"3133"
"314110","Carpet and rug mills",FALSE,"31411",5,"PCU31411-31411-",1984,"matched",1,"31411"
"314120","Curtain and linen mills",FALSE,"31412",5,"PCU31412-31412-",2003,"matched",1,"31412"
"314900","Other textile product mills",FALSE,"3149",4,"PCU3149--3149--",2003,"matched",1,"3149"
"315000","Apparel manufacturing",FALSE,"315",3,"PCU315---315---",2003,"matched",1,"315"
"316000","Leather and allied product manufacturing",FALSE,NA,NA,NA,NA,"NAICS exists, no PPI published",0,NA
"321100","Sawmills and wood preservation",FALSE,"3211",4,"PCU3211--3211--",2003,"matched",1,"3211"
"321200","Veneer, plywood, and engineered wood product manufacturing",FALSE,"3212",4,"PCU3212--3212--",2003,"matched",1,"3212"
"321910","Millwork",FALSE,"32191",5,"PCU32191-32191-",2003,"matched",1,"32191"
"3219A0","All other wood product manufacturing",FALSE,"32192",5,"PCU32192-32192-",2003,"matched",3,"3219, 32192, 32199"
"322110","Pulp mills",FALSE,"32211",5,"PCU32211-32211-",1973,"matched",1,"32211"
"322120","Paper mills",FALSE,"32212",5,"PCU32212-32212-",1974,"matched",1,"32212"
"322130","Paperboard mills",FALSE,"32213",5,"PCU32213-32213-",1974,"matched",1,"32213"
"322210","Paperboard container manufacturing",FALSE,"32221",5,"PCU32221-32221-",1984,"matched",1,"32221"
"322220","Paper bag and coated and treated paper manufacturing",FALSE,"32222",5,"PCU32222-32222-",2003,"matched",1,"32222"
"322230","Stationery product manufacturing",FALSE,"32223",5,"PCU32223-32223-",2003,"matched",1,"32223"
"322291","Sanitary paper product manufacturing",FALSE,"322291",6,"PCU322291322291",2003,"matched",1,"322291"
"322299","All other converted paper product manufacturing",FALSE,"322299",6,"PCU322299322299",2003,"matched",1,"322299"
"323110","Printing",FALSE,"32311",5,"PCU32311-32311-",2003,"matched",1,"32311"
"323120","Support activities for printing",FALSE,"3231",4,"PCU3231--3231--",2003,"matched",1,"3231"
"324110","Petroleum refineries",FALSE,"32411",5,"PCU32411-32411-",1976,"matched",1,"32411"
"324121","Asphalt paving mixture and block manufacturing",FALSE,"324121",6,"PCU324121324121",1975,"matched",1,"324121"
"324122","Asphalt shingle and coating materials manufacturing",FALSE,"324122",6,"PCU324122324122",1975,"matched",1,"324122"
"324190","Other petroleum and coal products manufacturing",FALSE,"32419",5,"PCU32419-32419-",1984,"matched",1,"32419"
"325110","Petrochemical manufacturing",FALSE,"32511",5,"PCU32511-32511-",2003,"matched",1,"32511"
