"claimed_code","naics_ppi","series_id","begin_year","end_year","digits"
"113","1133","PCU1133--1133--",1981,2026,4
"113","11331","PCU11331-11331-",1981,2026,5
"113","113310","PCU113310113310",1981,2026,6
"3274","32742","PCU32742-32742-",2003,2026,5
"3274","327420","PCU327420327420",1965,2026,6
"3322","332216","PCU332216332216",2011,2026,6
"3379","33791","PCU33791-33791-",2003,2026,5
"3379","337910","PCU337910337910",1967,2026,6
"33999","339991","PCU339991339991",1985,2026,6
"33999","339992","PCU339992339992",1978,2026,6
"33999","339994","PCU339994339994",1985,2026,6
"33999","339995","PCU339995339995",1976,2026,6
"5239","52394","PCU52394-52394-",2022,2026,5
"5239","523940","PCU523940523940",2022,2026,6
"5242","52421","PCU52421-52421-",2003,2026,5
"5242","524210","PCU524210524210",2002,2026,6
