"bea_code","bea_title","ast_flag","matched_naics","match_digits","ppi_series","begin_year"
"211000","Oil and gas extraction",FALSE,"211",3,"PCU211---211---",1985
"212100","Coal mining",FALSE,"2121",4,"PCU2121--2121--",1985
"2122A0","Iron, gold, silver, and other metal ore mining",FALSE,"21221",5,"PCU21221-21221-",1984
"2122A0","Iron, gold, silver, and other metal ore mining",FALSE,"21222",5,"PCU21222-21222-",1984
"2122A0","Iron, gold, silver, and other metal ore mining",FALSE,"21229",5,"PCU21229-21229-",1985
"212230","Copper, nickel, lead, and zinc mining",FALSE,"21223",5,"PCU21223-21223-",1988
"212310","Stone mining and quarrying",FALSE,"2123",4,"PCU2123--2123--",1984
"2123A0","Other nonmetallic mineral mining and quarrying",FALSE,"21232",5,"PCU21232-21232-",2003
"2123A0","Other nonmetallic mineral mining and quarrying",FALSE,"21239",5,"PCU21239-21239-",1984
"213111","Drilling oil and gas wells",FALSE,"213111",6,"PCU213111213111",1985
"21311A","Other support activities for mining",FALSE,"213112",6,"PCU213112213112",1985
"21311A","Other support activities for mining",FALSE,"21311",5,"PCU21311-21311-",2003
"221100","Electric power generation, transmission, and distribution",FALSE,"2211",4,"PCU2211--2211--",2003
"221200","Natural gas distribution",FALSE,"2212",4,"PCU2212--2212--",2003
"221300","Water, sewage and other systems",FALSE,"221",3,"PCU221---221---",2003
"321100","Sawmills and wood preservation",FALSE,"3211",4,"PCU3211--3211--",2003
"321200","Veneer, plywood, and engineered wood product manufacturing",FALSE,"3212",4,"PCU3212--3212--",2003
"321910","Millwork",FALSE,"32191",5,"PCU32191-32191-",2003
"3219A0","All other wood product manufacturing",FALSE,"32192",5,"PCU32192-32192-",2003
"3219A0","All other wood product manufacturing",FALSE,"3219",4,"PCU3219--3219--",2003
"3219A0","All other wood product manufacturing",FALSE,"32199",5,"PCU32199-32199-",2003
"327100","Clay product and refractory manufacturing",FALSE,"3271",4,"PCU3271--3271--",2003
"327200","Glass and glass product manufacturing",FALSE,"3272",4,"PCU3272--3272--",2003
"327310","Cement manufacturing",FALSE,"32731",5,"PCU32731-32731-",1965
"327320","Ready-mix concrete manufacturing",FALSE,"32732",5,"PCU32732-32732-",2003
"327330","Concrete pipe, brick, and block manufacturing",FALSE,"32733",5,"PCU32733-32733-",2003
"327390","Other concrete product manufacturing",FALSE,"32739",5,"PCU32739-32739-",2003
"327400","Lime and gypsum product manufacturing",FALSE,"327",3,"PCU327---327---",1984
"327910","Abrasive product manufacturing",FALSE,"32791",5,"PCU32791-32791-",2003
