"matched_naics","na_count","note"
"21223",11,"has gaps in 2004 window, see granular_na_notes.csv"
"322291",3,"has gaps in 2004 window, see granular_na_notes.csv"
"331313",111,"has gaps in 2004 window, see granular_na_notes.csv"
"331315",16,"has gaps in 2004 window, see granular_na_notes.csv"
"33241",13,"has gaps in 2004 window, see granular_na_notes.csv"
"33242",12,"has gaps in 2004 window, see granular_na_notes.csv"
"333511",2,"has gaps in 2004 window, see granular_na_notes.csv"
"334516",1,"has gaps in 2004 window, see granular_na_notes.csv"
"335999",1,"has gaps in 2004 window, see granular_na_notes.csv"
"33612",61,"has gaps in 2004 window, see granular_na_notes.csv"
"33631",12,"has gaps in 2004 window, see granular_na_notes.csv"
"33632",12,"has gaps in 2004 window, see granular_na_notes.csv"
"33635",9,"has gaps in 2004 window, see granular_na_notes.csv"
"33636",12,"has gaps in 2004 window, see granular_na_notes.csv"
"33637",12,"has gaps in 2004 window, see granular_na_notes.csv"
"33639",12,"has gaps in 2004 window, see granular_na_notes.csv"
"493",35,"has gaps in 2004 window, see granular_na_notes.csv"
