"naics","adf_level","kpss_level","adf_diff","kpss_diff","verdict","za_stat","za_crit5","za_reject","break_date"
"211",0.0944976930324269,0.01,0.01,0.1,"I(1) difference it",NA,NA,NA,NA
"212",0.737123604714394,0.01,0.01,0.0562810923244118,"I(1) difference it",NA,NA,NA,NA
"213",0.01,0.01,0.0218285945112547,0.0458302250226848,"ambiguous -> break test",-5.73,-5.08,TRUE,2005-11-01
"221",0.291680958323994,0.01,0.01,0.1,"I(1) difference it",NA,NA,NA,NA
"311",0.536346832209966,0.01,0.01,0.1,"I(1) difference it",NA,NA,NA,NA
"312",0.99,0.01,0.0394002692489231,0.01,"ambiguous -> break test",-6.6,-5.08,TRUE,2021-08-01
"313",0.358187270696758,0.01,0.01,0.1,"I(1) difference it",NA,NA,NA,NA
"314",0.436366176230761,0.01,0.01,0.1,"I(1) difference it",NA,NA,NA,NA
"315",0.99,0.01,0.01,0.01,"ambiguous -> break test",-6.96,-5.08,TRUE,2021-10-01
"321",0.620280689744363,0.01,0.01,0.1,"I(1) difference it",NA,NA,NA,NA
"322",0.421221084542568,0.01,0.01,0.1,"I(1) difference it",NA,NA,NA,NA
"323",0.953321643472159,0.01,0.117705874132938,0.01,"ambiguous -> break test",-5.57,-5.08,TRUE,2021-04-01
"324",0.26746748883802,0.01,0.01,0.1,"I(1) difference it",NA,NA,NA,NA
"325",0.13770091573955,0.01,0.0290560114439956,0.1,"I(1) difference it",NA,NA,NA,NA
"326",0.376871466642181,0.01,0.0361631329677132,0.1,"I(1) difference it",NA,NA,NA,NA
"327",0.432576061295974,0.01,0.165241988762553,0.0665908684343352,"ambiguous -> break test",-5.28,-5.08,TRUE,2021-02-01
"331",0.341094828354821,0.01,0.01,0.1,"I(1) difference it",NA,NA,NA,NA
"332",0.916905022810268,0.01,0.01,0.1,"I(1) difference it",NA,NA,NA,NA
"333",0.718513666417922,0.01,0.0388709971874921,0.0191012195979503,"ambiguous -> break test",-5.47,-5.08,TRUE,2021-03-01
"334",0.99,0.01,0.102405038825,0.01,"ambiguous -> break test",-5.95,-5.08,TRUE,2025-04-01
"335",0.913647115561294,0.01,0.0677272217121936,0.079147144056193,"ambiguous -> break test",-6.34,-5.08,TRUE,2021-01-01
"336",0.960887333523832,0.01,0.01,0.1,"I(1) difference it",NA,NA,NA,NA
"337",0.709653022617666,0.01,0.132025340608662,0.0450975095053466,"ambiguous -> break test",-5.09,-5.08,TRUE,2020-12-01
"339",0.99,0.01,0.01,0.01,"ambiguous -> break test",-8.13,-5.08,TRUE,2021-12-01
"441",0.247596790419145,0.01,0.01,0.1,"I(1) difference it",NA,NA,NA,NA
"444",0.896830550810135,0.01,0.01,0.1,"I(1) difference it",NA,NA,NA,NA
"445",0.781323176592693,0.01,0.01,0.1,"I(1) difference it",NA,NA,NA,NA
"455",0.768931460683485,0.01,0.01,0.1,"I(1) difference it",NA,NA,NA,NA
"456",0.199497069128109,0.01,0.01,0.093443060742963,"I(1) difference it",NA,NA,NA,NA
"458",0.39256901147481,0.01,0.01,0.1,"I(1) difference it",NA,NA,NA,NA
"481",0.337352736330815,0.01,0.01,0.1,"I(1) difference it",NA,NA,NA,NA
"482",0.100633653132981,0.01,0.01,0.1,"I(1) difference it",NA,NA,NA,NA
"483",0.730301452918313,0.01,0.01,0.1,"I(1) difference it",NA,NA,NA,NA
"484",0.620362890617921,0.01,0.036505986169267,0.1,"I(1) difference it",NA,NA,NA,NA
"488",0.0219585357247508,0.01,0.01,0.1,"I(1) difference it",NA,NA,NA,NA
"491",0.99,0.01,0.01,0.0387530539383875,"ambiguous -> break test",-10.1,-5.08,TRUE,2021-08-01
"492",0.850645475452226,0.01,0.01,0.1,"I(1) difference it",NA,NA,NA,NA
"516",0.99,0.01,0.01,0.01,"ambiguous -> break test",-8.64,-5.08,TRUE,2022-11-01
"517",0.99,0.01,0.01,0.01,"ambiguous -> break test",-6.86,-5.08,TRUE,2007-07-01
"523",0.809347109541306,0.01,0.01,0.1,"I(1) difference it",NA,NA,NA,NA
"524",0.982390558804958,0.01,0.0201195310220718,0.0231034622233543,"ambiguous -> break test",-6.3,-5.08,TRUE,2020-03-01
"622",0.683124692944452,0.01,0.01,0.0219824199425318,"ambiguous -> break test",-8.93,-5.08,TRUE,2016-03-01
"721",0.369828124709823,0.01,0.01,0.1,"I(1) difference it",NA,NA,NA,NA
